id,checkin,cdate,site_id,user_uuid
1799765,2,2023-08-10 09:41:33.537515,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1795256,2,2023-08-09 03:32:24.668510,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1797047,2,2023-08-09 14:13:59.489617,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1798590,1,2023-08-10 04:21:47.196514,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1796837,2,2023-08-09 10:44:23.082761,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1800000,1,2023-08-10 13:07:15.360251,49,dc16d91f-18b1-409d-9b6c-13c28492c0df
1934144,2,2023-09-30 04:01:28.392690,49,97084794-69bf-41c7-8554-fb18cef38d13
1934551,2,2023-09-30 07:37:04.152469,49,97084794-69bf-41c7-8554-fb18cef38d13
1933989,1,2023-09-30 00:31:49.599958,49,97084794-69bf-41c7-8554-fb18cef38d13
1934140,1,2023-09-30 03:58:42.123748,49,97084794-69bf-41c7-8554-fb18cef38d13
1934253,1,2023-09-30 04:56:21.272196,49,97084794-69bf-41c7-8554-fb18cef38d13
1934126,2,2023-09-30 03:55:34.866062,49,97084794-69bf-41c7-8554-fb18cef38d13
428356,1,2022-02-03 08:55:23.502869,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
426040,2,2022-02-02 08:17:45.491779,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
427501,1,2022-02-03 04:34:55.673147,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
427836,1,2022-02-03 06:15:15.290252,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
425600,1,2022-02-02 05:52:06.328159,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
425785,2,2022-02-02 06:59:02.688996,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
426092,2,2022-02-02 08:34:15.126315,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
425490,1,2022-02-02 05:11:48.135400,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
426487,1,2022-02-02 12:04:06.145893,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
426514,2,2022-02-02 12:31:30.237200,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
426523,2,2022-02-02 12:49:40.789290,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
426553,2,2022-02-02 13:15:44.507692,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
425812,1,2022-02-02 07:05:37.585273,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
425584,2,2022-02-02 05:43:48.860104,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
428631,2,2022-02-03 10:27:32.478817,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
426045,1,2022-02-02 08:19:07.389096,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
426516,1,2022-02-02 12:33:40.570420,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
426534,1,2022-02-02 12:56:14.516468,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
428624,1,2022-02-03 10:24:23.020120,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
427770,2,2022-02-03 05:53:33.637853,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
428225,2,2022-02-03 08:12:57.813490,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
428619,2,2022-02-03 10:22:42.601906,1,52b46170-8caf-4a1f-8207-09d6d9534cfd
1816737,1,2023-08-17 12:22:45.439208,1,69aaa3a1-845d-447b-9bac-babdc71f1b30
1816741,2,2023-08-17 12:24:46.766591,1,69aaa3a1-845d-447b-9bac-babdc71f1b30
671843,2,2022-05-12 05:32:47.853393,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
672500,2,2022-05-12 08:34:38.079054,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
672266,1,2022-05-12 07:27:11.968654,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
672656,1,2022-05-12 09:17:37.479601,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
672253,2,2022-05-12 07:23:12.031466,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
672520,2,2022-05-12 08:40:02.599556,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
672510,1,2022-05-12 08:37:11.041857,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
672900,1,2022-05-12 10:54:09.501379,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
671831,1,2022-05-12 05:29:59.821937,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
671903,1,2022-05-12 05:48:32.646344,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
672893,2,2022-05-12 10:51:44.518046,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
672945,2,2022-05-12 11:13:02.417683,1,3f382274-7dfa-4324-9a2d-2cb8c934c0bb
1635538,1,2023-06-06 06:12:08.167672,1,327f2aba-77fe-4864-a946-8ecc41a7f9fc
1635712,2,2023-06-06 07:31:08.763741,1,327f2aba-77fe-4864-a946-8ecc41a7f9fc
1635895,2,2023-06-06 08:56:07.945042,1,327f2aba-77fe-4864-a946-8ecc41a7f9fc
1635110,1,2023-06-06 03:23:17.948678,1,327f2aba-77fe-4864-a946-8ecc41a7f9fc
1635395,2,2023-06-06 05:19:25.961193,1,327f2aba-77fe-4864-a946-8ecc41a7f9fc
1635718,1,2023-06-06 07:34:39.092853,1,327f2aba-77fe-4864-a946-8ecc41a7f9fc
87903,2,2021-06-14 12:22:09.225415,1,e4b84a3e-dc6b-4e17-9ab8-108119fc482c
88726,2,2021-06-15 07:42:56.957514,1,e4b84a3e-dc6b-4e17-9ab8-108119fc482c
89158,2,2021-06-15 20:17:02.629720,1,e4b84a3e-dc6b-4e17-9ab8-108119fc482c
89117,1,2021-06-15 14:46:43.408425,1,e4b84a3e-dc6b-4e17-9ab8-108119fc482c
87575,2,2021-06-14 07:37:05.418651,1,e4b84a3e-dc6b-4e17-9ab8-108119fc482c
